MCC,MNC,Brand,Operator,State
208,1,Orange,Orange,Opérationnel
208,2,Orange,Orange,Opérationnel
208,3,MobiquiThings,MobiquiThings,Opérationnel
208,4,Netcom Group,Netcom Group / Phenix Partner,En cours
208,5,Globalstar,Globalstar Europe,Opérationnel
208,6,,Globalstar Europe,Opérationnel
208,7,,Globalstar Europe,Opérationnel
208,8,Completel,SFR (achat de Completel),Opérationnel
208,9,SFR,SFR,?
208,10,SFR,SFR,Opérationnel
208,11,SFR,SFR,Opérationnel
208,12,,Hewlett-Packard France4,Abrogé
208,13,SFR,SFR,Opérationnel
208,14,RFF,RFF,Opérationnel
208,15,Free,Free mobile,Opérationnel
208,16,Free,Free mobile,Opérationnel
208,17,Legos,Legos (MVNO)7,Opérationnel
208,18,Voxbone,Voxbone4,Disparu
208,19,Altitude,Altitude infrastructure,?
208,20,Bouygues Telecom,Bouygues Telecom,Opérationnel
208,21,Bouygues Telecom,Bouygues Telecom,Opérationnel
208,22,Transatel Mobile,Transatel (MVNE),Opérationnel
208,23,Syndicat mixte ouvert Charente numérique,,?
208,24,MobiquiThings,MobiquiThings (MVNO/MVNE),Opérationnel
208,25,Lycamobile,Lycamobile (MVNO),Opérationnel
208,26,NRJ Mobile / Auchan Télécom / Crédit Mutuel Mobile / CIC Mobile / CDiscount Mobile / SIM+,Bouygues Télécom Business distribution (Anciennement Euro Information Télécom),Opérationnel
208,27,Coriolis,Coriolis Télécom,Opérationnel
208,28,AIF,Airmob,Opérationnel
208,29,Cubic telecom France,,?
208,30,Syma Mobile,Symacom (MVNO),Opérationnel
208,31,Vectone / Delight Mobile (MVNO),Mundio Mobile (MVNE),Opérationnel
208,32,Orange,Orange,Test
208,34,Cellhire,Cellhire France,?
208,35,Free,Free mobile,Opérationnel
208,86,SEM@FOR77,,?
208,88,Bouygues,Bouygues Telecom,Opérationnel
208,89,,Fondation b-com,inconnu
208,90,Association Images & Réseaux,Association Images & Réseaux,?
208,91,Orange,Orange,?
208,92,Association Plate-forme Telecom10,,Disparu
208,93,Thales communications & Security SAS,Thales communications,Opérationnel
208,94,Halys11,Halys,En test
208,95,Orange,Orange,?
208,96,Axione12,Axione,Pilote
208,97,,Thales communications,?
208,98,Air France,Air France,?
